As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
03-Mar-23,51.47,1.25,2.49
02-Mar-23,50.22,-0.44,-0.87
01-Mar-23,50.66,0.06,0.12
28-Feb-23,50.60,-0.43,-0.84
27-Feb-23,51.03,0.39,0.77
24-Feb-23,50.64,-0.73,-1.42
23-Feb-23,51.37,0.99,1.97
22-Feb-23,50.38,-0.55,-1.08
21-Feb-23,50.93,-0.46,-0.90
20-Feb-23,51.39,-0.11,-0.21
17-Feb-23,51.50,-1.06,-2.02
16-Feb-23,52.56,0.19,0.36
15-Feb-23,52.37,0.27,0.52
14-Feb-23,52.10,0.39,0.75
13-Feb-23,51.71,0.32,0.62
10-Feb-23,51.39,-1.07,-2.04
09-Feb-23,52.46,-0.06,-0.11
08-Feb-23,52.52,0.75,1.45
07-Feb-23,51.77,0.02,0.04
06-Feb-23,51.75,-0.39,-0.75
03-Feb-23,52.14,0.27,0.52
02-Feb-23,51.87,2.13,4.28
01-Feb-23,49.74,0.67,1.37
31-Jan-23,49.07,-0.39,-0.79
30-Jan-23,49.46,-0.39,-0.78
27-Jan-23,49.85,0.68,1.38
26-Jan-23,49.17,1.46,3.06
25-Jan-23,47.71,-1.40,-2.85
24-Jan-23,49.11,0.46,0.95
23-Jan-23,48.65,1.25,2.64
20-Jan-23,47.40,0.14,0.30
19-Jan-23,47.26,-1.06,-2.19
18-Jan-23,48.32,0.59,1.24
17-Jan-23,47.73,-0.03,-0.06
16-Jan-23,47.76,0.55,1.17
13-Jan-23,47.21,0.38,0.81
12-Jan-23,46.83,0.03,0.06
11-Jan-23,46.80,0.32,0.69
10-Jan-23,46.48,-0.28,-0.60
09-Jan-23,46.76,1.54,3.41
06-Jan-23,45.22,-0.44,-0.96
05-Jan-23,45.66,-0.05,-0.11
04-Jan-23,45.71,0.04,0.09
03-Jan-23,45.67,0.49,1.08
02-Jan-23,45.18,0.35,0.78
30-Dec-22,44.83,-0.32,-0.71
29-Dec-22,45.15,0.23,0.51
28-Dec-22,44.92,0.07,0.16
27-Dec-22,44.85,-0.05,-0.11
23-Dec-22,44.90,-0.90,-1.97
22-Dec-22,45.80,-0.46,-0.99
21-Dec-22,46.26,0.37,0.81
20-Dec-22,45.89,-0.50,-1.08
19-Dec-22,46.39,-0.77,-1.63
16-Dec-22,47.16,-0.28,-0.59
15-Dec-22,47.44,-2.03,-4.10
14-Dec-22,49.47,-0.90,-1.79
13-Dec-22,50.37,1.85,3.81
12-Dec-22,48.52,-0.05,-0.10
09-Dec-22,48.57,0.33,0.68
08-Dec-22,48.24,0.62,1.30
07-Dec-22,47.62,-0.77,-1.59
06-Dec-22,48.39,-1.14,-2.30
05-Dec-22,49.53,-0.28,-0.56
02-Dec-22,49.81,-0.74,-1.46
01-Dec-22,50.55,1.90,3.91
30-Nov-22,48.65,-0.25,-0.51
29-Nov-22,48.90,-0.32,-0.65
28-Nov-22,49.22,-0.49,-0.99
25-Nov-22,49.71,-0.08,-0.16
24-Nov-22,49.79,-0.06,-0.12
23-Nov-22,49.85,0.92,1.88
22-Nov-22,48.93,-0.62,-1.25
21-Nov-22,49.55,-0.22,-0.44
18-Nov-22,49.77,0.59,1.20
17-Nov-22,49.18,-0.81,-1.62
16-Nov-22,49.99,-1.02,-2.00
15-Nov-22,51.01,1.11,2.22
14-Nov-22,49.90,0.03,0.06
11-Nov-22,49.87,0.78,1.59
10-Nov-22,49.09,1.79,3.78
09-Nov-22,47.30,-0.56,-1.17
08-Nov-22,47.86,0.76,1.61
07-Nov-22,47.10,-0.60,-1.26
04-Nov-22,47.70,-0.92,-1.89
03-Nov-22,48.62,-1.28,-2.57
02-Nov-22,49.90,-0.47,-0.93
31-Oct-22,50.37,0.60,1.21
28-Oct-22,49.77,0.10,0.20
27-Oct-22,49.67,-0.50,-1.00
26-Oct-22,50.17,-0.55,-1.08
25-Oct-22,50.72,0.79,1.58
24-Oct-22,49.93,0.34,0.69
21-Oct-22,49.59,-0.28,-0.56
20-Oct-22,49.87,0.38,0.77
19-Oct-22,49.49,-0.58,-1.16
18-Oct-22,50.07,0.76,1.54
17-Oct-22,49.31,-0.32,-0.64
14-Oct-22,49.63,2.00,4.20
13-Oct-22,47.63,-1.44,-2.93
12-Oct-22,49.07,0.11,0.22
11-Oct-22,48.96,-1.39,-2.76
10-Oct-22,50.35,-1.18,-2.29
07-Oct-22,51.53,-1.83,-3.43
06-Oct-22,53.36,0.94,1.79
05-Oct-22,52.42,0.20,0.38
04-Oct-22,52.22,1.64,3.24
03-Oct-22,50.58,-0.46,-0.90
30-Sep-22,51.04,-0.27,-0.53
29-Sep-22,51.31,-1.03,-1.97
28-Sep-22,52.34,-0.79,-1.49
27-Sep-22,53.13,0.28,0.53
26-Sep-22,52.85,1.09,2.11
23-Sep-22,51.76,-1.01,-1.91
22-Sep-22,52.77,-1.39,-2.57
21-Sep-22,54.16,0.48,0.89
20-Sep-22,53.68,-0.10,-0.19
19-Sep-22,53.78,0.55,1.03
16-Sep-22,53.23,-1.96,-3.55
15-Sep-22,55.19,0.24,0.44
14-Sep-22,54.95,-0.54,-0.97
13-Sep-22,55.49,-1.14,-2.01
12-Sep-22,56.63,0.59,1.05
09-Sep-22,56.04,1.02,1.85
08-Sep-22,55.02,0.56,1.03
07-Sep-22,54.46,-0.03,-0.06
06-Sep-22,54.49,0.04,0.07
05-Sep-22,54.45,-0.24,-0.44
02-Sep-22,54.69,0.17,0.31
01-Sep-22,54.52,-1.97,-3.49
31-Aug-22,56.49,-0.01,-0.02
30-Aug-22,56.50,-0.34,-0.60
29-Aug-22,56.84,-2.26,-3.82
26-Aug-22,59.10,-0.21,-0.35
25-Aug-22,59.31,0.52,0.88
24-Aug-22,58.79,0.34,0.58
23-Aug-22,58.45,-0.31,-0.53
22-Aug-22,58.76,-0.75,-1.26
19-Aug-22,59.51,-0.45,-0.75
18-Aug-22,59.96,0.13,0.22
17-Aug-22,59.83,-0.38,-0.63
16-Aug-22,60.21,0.89,1.50
12-Aug-22,59.32,0.15,0.25
11-Aug-22,59.17,0.72,1.23
10-Aug-22,58.45,0.72,1.25
09-Aug-22,57.73,-2.02,-3.38
08-Aug-22,59.75,0.74,1.25
05-Aug-22,59.01,-0.25,-0.42
04-Aug-22,59.26,0.88,1.51
03-Aug-22,58.38,1.36,2.39
02-Aug-22,57.02,0.14,0.25
01-Aug-22,56.88,-0.03,-0.05
29-Jul-22,56.91,1.42,2.56
28-Jul-22,55.49,0.53,0.96
27-Jul-22,54.96,0.80,1.48
26-Jul-22,54.16,-0.24,-0.44
25-Jul-22,54.40,-1.04,-1.88
22-Jul-22,55.44,0.16,0.29
21-Jul-22,55.28,1.26,2.33
20-Jul-22,54.02,1.35,2.56
19-Jul-22,52.67,-0.84,-1.57
18-Jul-22,53.51,0.99,1.88
15-Jul-22,52.52,0.77,1.49
14-Jul-22,51.75,-0.06,-0.12
13-Jul-22,51.81,-0.49,-0.94
12-Jul-22,52.30,-0.47,-0.89
11-Jul-22,52.77,-0.15,-0.28
08-Jul-22,52.92,0.02,0.04
07-Jul-22,52.90,0.84,1.61
06-Jul-22,52.06,2.35,4.73
05-Jul-22,49.71,0.19,0.38
04-Jul-22,49.52,-0.20,-0.40
01-Jul-22,49.72,0.62,1.26
30-Jun-22,49.10,-1.37,-2.71
29-Jun-22,50.47,-1.83,-3.50
28-Jun-22,52.30,0.33,0.63
27-Jun-22,51.97,0.21,0.41
24-Jun-22,51.76,2.08,4.19
22-Jun-22,49.68,-0.34,-0.68
21-Jun-22,50.02,1.37,2.82
20-Jun-22,48.65,-0.14,-0.29
17-Jun-22,48.79,-0.20,-0.41
16-Jun-22,48.99,-1.33,-2.64
15-Jun-22,50.32,0.29,0.58
14-Jun-22,50.03,-0.41,-0.81
13-Jun-22,50.44,-2.34,-4.43
10-Jun-22,52.78,-1.90,-3.47
09-Jun-22,54.68,-0.39,-0.71
08-Jun-22,55.07,0.86,1.59
07-Jun-22,54.21,-0.46,-0.84
03-Jun-22,54.67,0.57,1.05
