As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
27/Mar/2025,79.42,-1.10,-1.37
26/Mar/2025,80.52,-1.33,-1.62
25/Mar/2025,81.85,0.30,0.37
24/Mar/2025,81.55,2.40,3.03
21/Mar/2025,79.15,-0.97,-1.21
20/Mar/2025,80.12,1.52,1.93
19/Mar/2025,78.60,0.98,1.26
18/Mar/2025,77.62,-1.03,-1.31
17/Mar/2025,78.65,0.18,0.23
14/Mar/2025,78.47,1.06,1.37
13/Mar/2025,77.41,0.10,0.13
12/Mar/2025,77.31,1.76,2.33
11/Mar/2025,75.55,-0.51,-0.67
10/Mar/2025,76.06,-3.91,-4.89
07/Mar/2025,79.97,-1.40,-1.72
06/Mar/2025,81.37,-1.12,-1.36
05/Mar/2025,82.49,-1.12,-1.34
04/Mar/2025,83.61,-3.42,-3.93
03/Mar/2025,87.03,0.14,0.16
28/Feb/2025,86.89,-2.25,-2.52
27/Feb/2025,89.14,-0.83,-0.92
26/Feb/2025,89.97,1.04,1.17
25/Feb/2025,88.93,-2.28,-2.50
24/Feb/2025,91.21,-3.06,-3.25
21/Feb/2025,94.27,0.05,0.05
20/Feb/2025,94.22,-1.39,-1.45
19/Feb/2025,95.61,-0.58,-0.60
18/Feb/2025,96.19,0.33,0.34
17/Feb/2025,95.86,0.88,0.93
14/Feb/2025,94.98,-0.49,-0.51
13/Feb/2025,95.47,0.80,0.85
12/Feb/2025,94.67,-0.97,-1.01
11/Feb/2025,95.64,-0.26,-0.27
10/Feb/2025,95.90,0.25,0.26
07/Feb/2025,95.65,0.42,0.44
06/Feb/2025,95.23,1.92,2.06
05/Feb/2025,93.31,0.33,0.35
04/Feb/2025,92.98,0.44,0.48
03/Feb/2025,92.54,-2.07,-2.19
31/Jan/2025,94.61,1.69,1.82
30/Jan/2025,92.92,0.52,0.56
29/Jan/2025,92.40,1.75,1.93
28/Jan/2025,90.65,-0.07,-0.08
27/Jan/2025,90.72,-5.30,-5.52
24/Jan/2025,96.02,0.40,0.42
23/Jan/2025,95.62,-0.33,-0.34
22/Jan/2025,95.95,2.52,2.70
21/Jan/2025,93.43,0.29,0.31
20/Jan/2025,93.14,-0.59,-0.63
17/Jan/2025,93.73,0.02,0.02
16/Jan/2025,93.71,1.14,1.23
15/Jan/2025,92.57,1.26,1.38
14/Jan/2025,91.31,0.17,0.19
13/Jan/2025,91.14,-0.88,-0.96
10/Jan/2025,92.02,-0.94,-1.01
09/Jan/2025,92.96,-0.13,-0.14
08/Jan/2025,93.09,-0.78,-0.83
07/Jan/2025,93.87,-0.75,-0.79
06/Jan/2025,94.62,1.55,1.67
03/Jan/2025,93.07,0.62,0.67
02/Jan/2025,92.45,0.78,0.85
31/Dec/2024,91.67,0.89,0.98
30/Dec/2024,90.78,-1.60,-1.73
27/Dec/2024,92.38,-0.09,-0.10
23/Dec/2024,92.47,2.05,2.27
20/Dec/2024,90.42,-1.36,-1.48
19/Dec/2024,91.78,-2.20,-2.34
18/Dec/2024,93.98,0.28,0.30
17/Dec/2024,93.70,-0.65,-0.69
16/Dec/2024,94.35,0.49,0.52
13/Dec/2024,93.86,1.52,1.65
12/Dec/2024,92.34,0.18,0.20
11/Dec/2024,92.16,0.15,0.16
10/Dec/2024,92.01,-0.64,-0.69
09/Dec/2024,92.65,-0.06,-0.06
06/Dec/2024,92.71,0.30,0.32
05/Dec/2024,92.41,-0.16,-0.17
04/Dec/2024,92.57,1.92,2.12
03/Dec/2024,90.65,0.14,0.15
02/Dec/2024,90.51,1.62,1.82
29/Nov/2024,88.89,0.52,0.59
28/Nov/2024,88.37,-0.38,-0.43
27/Nov/2024,88.75,-1.27,-1.41
26/Nov/2024,90.02,-0.03,-0.03
25/Nov/2024,90.05,-0.71,-0.78
22/Nov/2024,90.76,2.02,2.28
