Name,Gender,AnnualSalary,GrossPay
Emp1,F,56705.0,54135.44
Emp2,F,75500.0,72445.87
Emp3,M,70000.0,59517.21
Emp5,M,64365.0,74770.82
Emp6,M,40019.0,16283.26
Emp7,F,82780.0,106063.56
Emp8,M,45471.0,59418.35
Emp9,M,18408.0,5090.64
Emp10,M,18408.0,32320.27
Emp11,M,18408.0,4522.4
Emp12,M,32799.0,35751.23
Emp13,F,20080.0,2310.0
Emp14,F,42446.0,41272.07
Emp15,M,34218.0,34969.65
Emp16,M,30409.0,34478.02
Emp17,F,38326.0,37228.57
Emp18,F,45525.0,49189.89
Emp19,M,60008.0,51787.19
Emp20,M,50000.0,54759.41
Emp21,F,60800.0,58883.04
